Fecha(yyyy-mm-dd),Hora(hh:mm:ss),Temperatura(℃),Humedad(%),Dirección del viento(°),Velocidad del viento(m/s),Presión barométrica(hPa),Precipitación(mm)
2024-09-15,0 days 15:46:25,25.3,93.0,66.8,1.5,1003.6,1.76
2024-09-15,0 days 16:01:25,25.4,93.0,352.1,0.3,1003.7,1.78
2024-09-15,0 days 16:16:26,25.5,93.0,116.2,0.4,1003.6,1.81
2024-09-15,0 days 16:31:25,25.6,93.5,339.0,0.8,1003.4,1.82
2024-09-15,0 days 16:46:25,25.6,93.5,271.9,0.4,1003.7,1.84
2024-09-15,0 days 17:01:25,25.6,93.5,156.6,0.5,1003.7,1.86
2024-09-15,0 days 17:16:25,25.8,93.5,153.8,0.7,1003.5,0.0
2024-09-15,0 days 17:31:25,25.7,93.5,175.2,0.5,1003.6,0.0
2024-09-15,0 days 17:46:25,25.8,93.5,212.7,0.2,1003.6,0.0
2024-09-15,0 days 18:01:25,25.8,94.0,87.9,0.6,1003.3,0.0
2024-09-15,0 days 18:16:25,26.0,94.0,77.8,0.5,1003.6,0.0
2024-09-15,0 days 18:31:25,26.0,94.0,153.8,0.6,1004.0,0.0
2024-09-15,0 days 18:46:25,25.8,94.0,254.8,1.6,1004.4,0.0
2024-09-15,0 days 19:01:25,25.8,94.0,36.6,1.1,1004.5,0.0
2024-09-15,0 days 19:16:25,25.9,94.0,85.0,0.3,1004.8,0.0
2024-09-15,0 days 19:31:25,26.0,94.0,215.3,0.1,1004.9,0.0
2024-09-15,0 days 19:46:25,26.0,94.0,191.9,0.4,1005.1,0.0
2024-09-15,0 days 20:01:25,25.9,94.0,53.1,0.1,1005.2,0.0
2024-09-15,0 days 20:16:25,26.0,94.0,95.1,0.4,1005.5,0.0
2024-09-15,0 days 20:31:25,26.1,94.5,56.3,0.7,1005.8,0.0
2024-09-15,0 days 20:46:25,26.1,94.0,190.5,0.5,1006.0,0.0
2024-09-15,0 days 21:01:25,26.0,94.0,155.8,0.8,1006.0,0.0
2024-09-15,0 days 21:16:25,25.9,94.5,259.9,0.1,1005.8,0.0
2024-09-15,0 days 21:31:25,25.8,94.0,259.1,0.9,1005.8,0.0
2024-09-15,0 days 21:46:25,25.7,94.5,240.3,0.3,1005.8,0.0
2024-09-15,0 days 22:01:25,25.6,94.5,159.9,0.4,1005.6,0.0
2024-09-15,0 days 22:16:26,25.6,94.5,237.7,0.9,1005.9,0.0
2024-09-15,0 days 22:31:25,25.6,94.5,151.7,0.5,1006.2,0.0
2024-09-15,0 days 22:46:25,25.6,94.5,12.9,0.2,1006.6,0.0
2024-09-15,0 days 23:01:25,25.6,94.5,152.3,0.2,1007.0,0.0
2024-09-15,0 days 23:16:25,25.8,94.5,357.1,0.1,1007.0,0.0
2024-09-15,0 days 23:31:25,25.9,94.5,52.2,0.2,1006.8,0.0
2024-09-16,0 days 00:01:25,26.0,94.5,8.4,0.6,1006.3,0.01
2024-09-16,0 days 00:16:25,26.0,94.5,123.8,0.4,1006.0,0.04
2024-09-16,0 days 00:31:25,26.1,94.5,75.2,0.3,1006.1,0.04
2024-09-16,0 days 00:46:25,26.0,94.5,88.6,0.5,1005.6,0.04
2024-09-16,0 days 01:01:25,26.0,94.5,107.8,0.3,1005.6,0.04
2024-09-16,0 days 01:16:25,25.7,94.5,132.5,4.1,1005.6,0.13
2024-09-16,0 days 01:31:25,25.6,94.5,83.7,2.7,1005.7,0.24
2024-09-16,0 days 01:46:25,25.1,94.0,121.3,1.5,1005.9,0.27
2024-09-16,0 days 02:01:25,24.9,94.5,115.7,1.0,1005.8,0.35
2024-09-16,0 days 02:16:25,24.8,94.5,69.2,1.1,1005.1,0.77
2024-09-16,0 days 02:31:25,24.8,94.5,91.3,0.8,1005.5,0.87
2024-09-16,0 days 02:46:25,24.9,94.5,109.8,1.0,1005.6,0.91
2024-09-16,0 days 03:01:25,24.9,94.5,93.0,1.0,1004.9,0.95
2024-09-16,0 days 03:16:25,24.7,94.5,117.0,1.9,1004.7,0.98
2024-09-16,0 days 03:31:25,24.7,94.5,117.0,1.1,1005.1,0.99
2024-09-16,0 days 03:46:25,24.8,94.5,123.7,1.1,1005.4,1.17
2024-09-16,0 days 04:01:25,24.8,94.5,108.9,0.4,1005.9,1.4
2024-09-16,0 days 04:16:25,24.9,94.5,51.8,0.7,1005.8,1.87
2024-09-16,0 days 04:31:25,24.8,94.5,179.7,0.4,1005.7,2.12
2024-09-16,0 days 04:46:25,24.6,94.5,101.0,0.9,1005.5,2.26
2024-09-16,0 days 05:01:26,24.6,94.5,333.8,0.5,1005.7,2.34
2024-09-16,0 days 05:16:25,24.7,94.5,255.3,1.3,1006.0,2.47
2024-09-16,0 days 05:31:25,24.6,94.5,317.5,0.2,1006.0,2.84
2024-09-16,0 days 05:46:25,24.5,94.5,117.2,1.2,1005.4,3.0
2024-09-16,0 days 06:01:25,24.4,94.5,97.9,1.0,1005.3,3.22
2024-09-16,0 days 06:16:25,24.4,94.5,309.2,0.2,1005.5,3.35
2024-09-16,0 days 06:31:25,24.5,94.5,315.7,0.6,1005.9,3.44
2024-09-16,0 days 06:46:25,24.6,94.5,84.8,0.7,1006.0,3.51
2024-09-16,0 days 07:01:25,24.6,94.5,121.9,2.1,1005.7,3.53
2024-09-16,0 days 07:16:25,24.7,94.5,352.4,1.6,1006.4,3.53
2024-09-16,0 days 07:31:25,24.7,94.5,287.3,0.5,1006.7,3.53
2024-09-16,0 days 07:46:25,24.8,94.5,189.6,0.2,1006.6,3.53
2024-09-16,0 days 08:01:25,24.9,94.5,193.5,0.2,1006.8,3.53
2024-09-16,0 days 08:16:25,25.2,94.5,69.2,0.2,1007.0,3.53
2024-09-16,0 days 08:31:25,25.4,94.0,334.8,1.1,1007.0,3.53
2024-09-16,0 days 08:46:25,25.8,93.5,273.6,1.5,1007.2,3.53
2024-09-16,0 days 09:01:25,26.0,93.0,240.0,0.8,1007.2,3.53
2024-09-16,0 days 09:16:25,26.6,91.5,305.0,1.0,1007.3,3.53
2024-09-16,0 days 09:31:25,27.5,86.5,332.5,0.8,1007.2,3.53
2024-09-16,0 days 09:46:25,27.9,83.0,347.9,0.7,1006.7,3.53
2024-09-16,0 days 20:16:25,27.4,86.5,80.8,0.9,1006.7,0.0
2024-09-16,0 days 20:31:25,27.3,87.0,101.1,0.4,1006.7,0.0
2024-09-16,0 days 20:46:25,27.3,88.0,31.1,0.2,1007.0,0.0
2024-09-16,0 days 21:01:25,27.2,88.5,71.5,0.7,1007.2,0.0
2024-09-16,0 days 21:16:25,27.2,88.5,78.8,0.5,1007.6,0.0
2024-09-16,0 days 21:31:25,27.2,89.0,93.2,0.3,1007.6,0.0
2024-09-16,0 days 21:46:25,27.1,89.0,81.2,0.7,1007.7,0.0
2024-09-16,0 days 22:01:25,27.1,89.0,35.3,0.4,1007.8,0.0
2024-09-16,0 days 22:16:25,27.0,89.5,269.3,0.6,1007.8,0.0
2024-09-16,0 days 22:31:25,26.4,90.5,274.1,0.5,1007.7,0.0
2024-09-16,0 days 22:46:25,26.2,92.0,125.6,0.4,1008.0,0.0
2024-09-16,0 days 23:01:25,26.3,92.0,337.3,0.1,1008.0,0.0
2024-09-16,0 days 23:31:25,26.4,92.5,44.0,0.2,1007.8,0.0
2024-09-16,0 days 23:46:25,26.4,92.0,50.4,0.4,1007.8,0.0
2024-09-17,0 days 00:01:25,26.6,92.0,314.3,0.2,1007.6,0.0
2024-09-17,0 days 00:16:26,26.6,91.5,318.9,0.2,1007.4,0.0
2024-09-17,0 days 00:31:25,26.5,91.5,136.3,0.6,1007.1,0.0
2024-09-17,0 days 00:46:25,26.4,91.5,205.3,0.3,1006.9,0.0
2024-09-17,0 days 01:01:25,26.3,92.0,173.1,0.4,1006.7,0.0
2024-09-17,0 days 01:16:25,26.2,92.0,135.5,0.4,1006.5,0.0
2024-09-17,0 days 01:31:27,26.3,92.5,83.1,0.4,1006.3,0.0
2024-09-17,0 days 01:46:25,26.4,92.5,82.0,0.4,1006.2,0.0
2024-09-17,0 days 02:01:25,26.5,92.5,185.4,0.4,1006.1,0.0
2024-09-17,0 days 02:16:25,26.3,92.5,131.5,0.7,1005.8,0.0
2024-09-17,0 days 02:31:25,26.0,92.5,259.2,0.7,1005.6,0.0
2024-09-17,0 days 02:46:25,25.8,93.0,196.9,0.3,1005.6,0.0
2024-09-17,0 days 03:01:25,25.9,93.5,143.4,0.3,1005.6,0.0
2024-09-17,0 days 03:16:25,25.8,93.5,194.0,0.3,1005.4,0.0
2024-09-17,0 days 03:31:27,25.7,93.5,124.9,0.4,1005.5,0.0
2024-09-17,0 days 03:46:25,25.8,94.0,249.9,0.4,1005.7,0.0
2024-09-17,0 days 04:01:25,25.9,94.0,2.4,1.2,1005.8,0.0
2024-09-17,0 days 04:16:25,25.8,94.0,350.2,0.1,1005.9,0.0
2024-09-17,0 days 04:31:25,25.8,94.0,100.6,0.5,1006.0,0.0
2024-09-17,0 days 04:46:25,25.8,94.0,333.3,0.3,1006.0,0.0
2024-09-17,0 days 05:01:25,25.7,94.0,272.9,0.1,1006.1,0.0
2024-09-17,0 days 05:16:25,25.7,94.0,144.6,0.4,1006.1,0.0
2024-09-17,0 days 05:31:25,25.8,94.0,123.1,0.3,1006.3,0.0
2024-09-17,0 days 05:46:25,25.7,94.0,283.6,0.2,1006.6,0.0
2024-09-17,0 days 06:01:25,25.5,94.0,216.6,0.2,1006.7,0.0
2024-09-17,0 days 06:16:25,25.4,94.0,263.8,0.4,1006.7,0.0
2024-09-17,0 days 06:31:25,25.5,94.0,264.7,0.2,1006.8,0.0
2024-09-17,0 days 06:46:25,25.7,94.5,355.2,0.9,1006.8,0.0
2024-09-17,0 days 07:01:25,25.8,94.5,191.1,0.2,1007.1,0.0
2024-09-17,0 days 07:16:25,26.3,94.0,201.8,0.4,1007.3,0.0
2024-09-17,0 days 07:31:25,26.6,93.0,337.5,0.4,1007.5,0.0
2024-09-17,0 days 07:46:25,27.5,91.5,290.8,0.4,1007.7,0.0
2024-09-17,0 days 08:01:25,27.2,91.5,334.6,0.4,1007.6,0.0
2024-09-17,0 days 13:16:25,34.0,60.5,155.3,0.3,1005.0,0.01
2024-09-17,0 days 13:31:25,35.2,57.0,325.6,0.6,1004.8,0.01
2024-09-17,0 days 13:46:25,35.5,54.5,68.3,1.2,1004.4,0.01
2024-09-17,0 days 14:01:25,36.6,53.0,54.3,0.8,1004.5,0.01
2024-09-17,0 days 14:16:25,34.7,55.5,353.2,0.9,1003.7,0.01
2024-09-17,0 days 14:31:25,35.6,54.5,76.1,1.3,1003.8,0.01
2024-09-17,0 days 14:46:25,34.5,57.5,80.9,1.3,1003.5,0.01
2024-09-17,0 days 15:01:25,34.9,59.5,63.1,1.2,1003.5,0.01
2024-09-17,0 days 15:16:25,33.8,63.5,90.5,2.9,1003.5,0.01
2024-09-17,0 days 15:31:25,34.3,61.5,86.8,2.0,1003.5,0.01
2024-09-17,0 days 15:46:25,32.8,65.0,61.4,1.5,1003.2,0.01
2024-09-17,0 days 16:01:25,32.3,67.0,70.4,2.2,1003.3,0.01
2024-09-17,0 days 16:16:25,32.9,68.5,67.0,3.5,1003.4,0.01
2024-09-17,0 days 16:31:25,32.7,70.0,78.8,3.2,1003.5,0.01
2024-09-17,0 days 16:46:25,32.1,71.0,31.6,1.2,1003.5,0.01
2024-09-17,0 days 17:01:25,32.2,69.0,76.4,1.3,1003.4,0.01
2024-09-17,0 days 17:16:25,31.8,70.5,83.1,3.8,1003.4,0.0
2024-09-17,0 days 17:31:25,31.2,72.0,74.4,4.7,1003.4,0.0
2024-09-17,0 days 17:46:25,31.0,72.5,69.0,1.1,1003.5,0.0
2024-09-17,0 days 18:01:25,30.7,73.0,69.3,2.7,1003.7,0.0
2024-09-18,0 days 00:01:25,27.4,88.0,130.2,0.4,1006.3,0.0
2024-09-18,0 days 00:16:25,27.5,87.5,112.0,0.5,1006.2,0.0
2024-09-18,0 days 01:01:25,26.9,89.5,327.6,0.6,1006.0,0.0
2024-09-18,0 days 01:16:25,26.7,91.0,81.5,0.4,1005.9,0.0
2024-09-18,0 days 01:31:25,26.6,91.0,77.5,0.2,1006.0,0.0
2024-09-18,0 days 01:46:25,26.7,91.5,97.0,0.2,1005.7,0.0
2024-09-18,0 days 02:01:25,26.7,91.5,109.9,0.2,1005.6,0.0
2024-09-18,0 days 02:16:25,26.8,91.0,104.3,0.3,1005.4,0.0
2024-09-18,0 days 02:31:25,26.7,91.0,77.6,0.2,1005.1,0.0
2024-09-18,0 days 03:01:25,26.5,91.5,70.8,0.3,1004.7,0.0
2024-09-18,0 days 03:16:26,26.5,91.5,38.4,0.2,1004.7,0.0
2024-09-18,0 days 03:31:25,26.5,91.5,80.3,0.4,1004.8,0.0
2024-09-18,0 days 03:46:28,26.5,91.5,346.8,0.4,1004.7,0.0
2024-09-18,0 days 04:01:25,26.4,91.5,37.8,0.2,1004.7,0.0
2024-09-18,0 days 04:16:25,26.2,92.0,36.4,0.3,1004.7,0.0
2024-09-18,0 days 04:31:25,26.0,92.0,112.4,0.2,1004.7,0.0
2024-09-18,0 days 04:46:25,26.0,92.0,118.6,0.4,1004.9,0.0
2024-09-18,0 days 05:01:25,25.9,92.0,49.7,0.3,1004.9,0.0
2024-09-18,0 days 05:16:25,25.9,92.0,335.4,1.1,1005.1,0.0
2024-09-18,0 days 05:31:25,25.8,92.0,67.8,0.4,1005.2,0.0
2024-09-18,0 days 05:46:25,25.7,92.5,138.8,0.4,1005.2,0.0
2024-09-18,0 days 06:01:25,25.7,92.5,194.2,0.3,1005.4,0.0
2024-09-18,0 days 06:16:25,25.5,93.0,147.0,0.1,1005.5,0.0
2024-09-18,0 days 06:31:25,25.6,93.0,150.5,0.3,1005.7,0.0
2024-09-18,0 days 06:46:25,25.5,93.0,141.5,0.6,1006.0,0.0
2024-09-18,0 days 07:01:25,25.6,93.0,150.8,0.6,1006.0,0.0
2024-09-18,0 days 07:16:25,26.3,92.5,171.2,0.4,1006.1,0.0
2024-09-18,0 days 07:31:25,27.1,91.0,159.8,0.9,1006.2,0.0
2024-09-18,0 days 12:16:31,34.9,58.0,140.1,0.4,1004.7,0.0
2024-09-18,0 days 12:31:25,34.7,59.0,106.9,0.3,1004.5,0.0
2024-09-18,0 days 12:46:25,36.3,52.5,148.7,1.3,1004.3,0.0
2024-09-18,0 days 13:01:25,35.2,54.5,128.5,1.9,1004.0,0.0
2024-09-18,0 days 13:16:25,35.1,55.5,150.6,2.2,1003.9,0.0
2024-09-18,0 days 13:31:25,35.4,54.5,151.4,1.2,1003.6,0.0
2024-09-18,0 days 13:46:25,35.7,55.5,54.4,1.9,1003.4,0.0
2024-09-18,0 days 14:01:25,35.5,54.5,98.3,1.1,1003.2,0.0
2024-09-18,0 days 14:16:25,36.6,52.5,124.5,1.5,1003.4,0.0
2024-09-18,0 days 14:31:25,36.6,51.5,357.8,0.9,1003.2,0.0
2024-09-18,0 days 14:46:25,36.4,52.5,69.3,2.5,1003.0,0.0
2024-09-18,0 days 15:01:26,36.4,53.0,64.1,2.1,1002.8,0.0
2024-09-18,0 days 15:16:25,35.7,54.5,64.5,0.9,1002.6,0.0
2024-09-18,0 days 15:31:25,33.5,66.5,81.3,1.4,1002.7,0.0
2024-09-18,0 days 15:46:25,33.7,65.5,68.1,4.1,1002.6,0.0
2024-09-18,0 days 16:01:25,33.6,67.0,73.9,2.2,1002.7,0.0
2024-09-18,0 days 16:16:25,32.5,69.5,56.4,2.4,1002.6,0.0
2024-09-18,0 days 16:31:25,33.2,67.5,71.5,3.5,1002.6,0.0
2024-09-18,0 days 16:46:25,32.6,69.0,54.6,1.8,1002.6,0.0
2024-09-18,0 days 17:01:25,32.3,69.0,53.5,1.5,1002.7,0.0
2024-09-18,0 days 17:16:25,32.2,68.5,81.1,1.8,1002.7,0.0
2024-09-18,0 days 17:31:25,32.0,67.5,76.2,2.5,1002.6,0.0
2024-09-18,0 days 17:46:25,31.6,70.5,58.2,2.9,1002.6,0.0
2024-09-18,0 days 18:01:25,31.5,72.0,87.2,1.3,1002.6,0.0
2024-09-18,0 days 18:16:26,30.7,75.0,86.3,1.7,1002.7,0.0
2024-09-18,0 days 18:31:25,30.2,76.5,80.7,1.9,1003.0,0.0
2024-09-19,0 days 02:46:25,26.4,91.5,238.3,0.3,1004.9,0.0
2024-09-19,0 days 03:01:25,26.2,91.5,65.7,0.2,1004.7,0.0
2024-09-19,0 days 03:16:25,26.0,92.5,222.4,0.5,1004.8,0.0
2024-09-19,0 days 03:31:25,25.9,92.5,115.7,0.3,1004.7,0.0
2024-09-19,0 days 03:46:25,25.8,92.5,202.5,0.4,1004.8,0.0
2024-09-19,0 days 04:01:26,25.7,93.0,184.5,0.4,1004.6,0.0
2024-09-19,0 days 04:16:25,25.6,93.5,65.0,0.2,1004.6,0.0
2024-09-19,0 days 04:31:25,25.7,93.5,140.1,0.3,1004.7,0.0
2024-09-19,0 days 04:46:25,25.7,93.5,19.9,0.5,1004.8,0.0
2024-09-19,0 days 05:01:25,25.9,93.5,167.8,0.3,1005.0,0.0
2024-09-19,0 days 05:16:25,25.8,93.5,34.0,0.4,1005.1,0.0
2024-09-19,0 days 05:31:25,25.9,94.0,165.8,0.2,1005.2,0.0
2024-09-19,0 days 05:46:25,25.9,94.0,28.7,0.4,1005.4,0.0
2024-09-19,0 days 06:01:25,25.9,94.0,347.8,0.6,1005.4,0.0
2024-09-19,0 days 06:16:25,25.8,94.0,218.5,0.2,1005.4,0.0
2024-09-19,0 days 06:31:25,25.8,94.0,75.9,0.4,1005.6,0.0
2024-09-19,0 days 06:46:25,26.1,94.0,165.0,0.3,1005.9,0.0
2024-09-19,0 days 07:01:25,26.5,93.0,225.5,0.1,1006.3,0.0
2024-09-19,0 days 10:46:25,33.1,62.5,144.2,0.5,1006.2,0.0
2024-09-19,0 days 11:16:25,34.3,60.0,160.0,1.9,1006.2,0.0
2024-09-19,0 days 11:31:27,34.5,57.5,330.7,0.7,1006.1,0.0
2024-09-19,0 days 11:46:25,34.7,58.0,273.7,1.8,1005.9,0.0
2024-09-19,0 days 12:01:25,33.9,60.5,150.9,2.2,1005.5,0.0
2024-09-19,0 days 12:16:25,35.6,57.0,81.8,1.3,1005.6,0.0
2024-09-19,0 days 12:31:25,34.5,58.5,141.7,1.5,1005.1,0.0
2024-09-19,0 days 12:46:25,35.3,55.5,110.1,1.8,1004.9,0.0
2024-09-19,0 days 13:01:25,35.9,55.5,139.3,1.2,1004.7,0.0
2024-09-19,0 days 13:16:25,35.5,53.5,147.3,2.3,1004.3,0.0
2024-09-19,0 days 13:31:27,36.0,53.5,355.8,0.3,1004.2,0.0
2024-09-19,0 days 13:46:25,36.1,52.0,124.9,3.3,1004.2,0.0
2024-09-19,0 days 14:01:25,36.0,52.0,129.7,1.0,1003.8,0.0
2024-09-19,0 days 14:16:25,36.1,52.5,128.0,1.4,1003.8,0.0
2024-09-19,0 days 14:31:28,36.8,49.5,82.8,1.8,1003.7,0.0
2024-09-19,0 days 14:46:25,35.4,59.5,84.9,1.6,1003.7,0.0
2024-09-19,0 days 15:01:26,34.8,61.5,62.6,2.9,1003.4,0.0
2024-09-19,0 days 15:16:25,35.9,57.5,65.5,1.6,1003.4,0.0
2024-09-19,0 days 15:31:25,34.4,61.5,69.4,3.3,1003.1,0.0
2024-09-19,0 days 15:46:25,34.8,60.5,106.8,2.2,1003.1,0.0
2024-09-19,0 days 16:01:25,33.7,65.0,71.4,3.7,1002.8,0.0
2024-09-19,0 days 16:16:25,33.3,65.5,111.3,2.5,1002.8,0.0
2024-09-19,0 days 16:31:25,33.7,63.5,65.0,2.1,1002.8,0.0
2024-09-19,0 days 16:46:25,33.6,64.0,102.6,0.7,1002.8,0.0
2024-09-19,0 days 17:01:25,33.1,65.0,53.0,1.7,1002.8,0.0
2024-09-19,0 days 17:16:25,32.9,65.5,56.3,1.3,1002.8,0.0
2024-09-19,0 days 17:31:25,32.5,67.0,70.7,2.1,1002.7,0.0
2024-09-19,0 days 17:46:25,32.0,68.5,69.0,2.4,1002.6,0.0
2024-09-19,0 days 18:01:25,31.7,69.5,67.6,3.0,1002.7,0.0
2024-09-19,0 days 18:16:25,30.9,73.0,84.6,0.6,1002.6,0.0
2024-09-19,0 days 18:31:26,30.5,75.5,67.6,3.7,1002.7,0.0
2024-09-19,0 days 18:46:25,30.0,77.5,64.9,1.8,1002.9,0.0
2024-09-20,0 days 03:46:25,26.6,92.5,269.7,0.2,1004.8,0.0
2024-09-20,0 days 04:16:25,26.2,92.5,172.4,0.6,1004.6,0.0
2024-09-20,0 days 04:31:25,25.9,93.0,154.7,0.4,1004.7,0.0
2024-09-20,0 days 04:46:25,25.8,93.0,234.9,0.3,1004.5,0.0
2024-09-20,0 days 05:01:25,25.8,93.5,155.7,0.2,1004.5,0.0
2024-09-20,0 days 05:16:26,25.8,93.5,153.2,0.4,1004.5,0.0
2024-09-20,0 days 05:31:25,25.8,94.0,153.7,0.2,1004.8,0.0
2024-09-20,0 days 05:46:25,26.1,94.0,357.5,0.4,1004.9,0.0
2024-09-20,0 days 06:01:25,26.1,94.0,6.5,0.5,1004.8,0.0
2024-09-20,0 days 06:16:25,26.1,94.0,347.5,0.4,1004.9,0.0
2024-09-20,0 days 06:31:25,26.1,94.0,290.2,0.2,1005.1,0.0
2024-09-20,0 days 06:46:26,26.3,94.0,57.6,0.4,1005.3,0.0
2024-09-20,0 days 11:16:25,34.4,58.5,162.8,1.1,1005.4,0.0
2024-09-20,0 days 11:31:25,34.6,58.0,73.3,0.6,1005.1,0.0
2024-09-20,0 days 12:01:25,35.1,58.5,163.4,1.5,1004.8,0.0
2024-09-20,0 days 12:16:25,35.1,58.5,172.8,1.7,1004.5,0.0
2024-09-20,0 days 12:31:25,35.0,58.5,149.0,0.5,1004.4,0.0
2024-09-20,0 days 12:46:26,35.3,55.5,12.8,0.6,1004.1,0.0
2024-09-20,0 days 13:01:25,36.3,52.0,150.8,1.0,1004.1,0.0
2024-09-20,0 days 13:16:26,36.5,50.5,331.2,0.5,1003.6,0.0
2024-09-20,0 days 13:31:25,35.6,50.0,228.2,0.8,1003.1,0.0
2024-09-20,0 days 13:46:25,36.4,48.0,159.6,3.0,1002.9,0.0
2024-09-20,0 days 14:01:26,36.8,47.5,89.2,1.3,1002.8,0.0
2024-09-20,0 days 15:01:26,35.3,56.5,62.3,1.0,1001.8,0.0
2024-09-20,0 days 15:16:26,36.8,53.0,74.6,2.3,1001.9,0.0
2024-09-20,0 days 15:31:26,37.4,53.0,57.8,1.0,1002.0,0.0
2024-09-20,0 days 15:46:26,35.6,61.0,55.4,3.5,1001.8,0.0
2024-09-20,0 days 16:01:26,34.8,62.5,63.8,2.2,1001.8,0.0
2024-09-20,0 days 16:16:26,34.2,63.5,60.8,3.2,1001.7,0.0
2024-09-20,0 days 16:31:26,34.4,64.0,93.1,2.1,1001.7,0.0
2024-09-20,0 days 16:46:26,34.1,65.5,68.2,3.4,1001.7,0.0
2024-09-20,0 days 17:01:26,33.9,65.0,117.5,4.3,1001.7,0.0
2024-09-20,0 days 17:16:26,33.4,66.5,94.4,4.0,1001.8,0.0
2024-09-20,0 days 17:31:26,32.7,67.5,73.7,2.3,1001.7,0.0
2024-09-20,0 days 17:46:26,32.1,69.0,55.0,2.0,1001.9,0.0
2024-09-20,0 days 18:01:26,31.9,69.0,65.9,1.9,1002.1,0.0
2024-09-20,0 days 18:16:26,31.2,72.0,68.7,2.7,1002.0,0.0
2024-09-20,0 days 18:31:26,30.7,74.5,87.8,3.3,1002.0,0.0
2024-09-20,0 days 18:46:26,30.3,76.5,65.0,1.7,1002.2,0.0
2024-09-20,0 days 19:01:26,30.0,78.0,60.2,2.1,1002.3,0.0
2024-09-21,0 days 04:31:26,26.0,93.0,228.9,0.5,1004.2,0.0
2024-09-21,0 days 04:46:26,26.1,93.0,223.4,0.1,1004.4,0.0
2024-09-21,0 days 05:01:26,26.2,93.5,207.1,0.1,1004.3,0.0
2024-09-21,0 days 05:16:25,26.3,93.5,30.5,0.3,1004.4,0.0
2024-09-21,0 days 05:31:26,26.3,93.5,343.9,0.4,1004.5,0.0
2024-09-21,0 days 05:46:25,26.2,93.5,48.2,0.3,1004.5,0.0
2024-09-21,0 days 06:01:26,26.4,93.5,348.0,0.5,1004.7,0.0
2024-09-21,0 days 06:16:26,26.4,93.5,350.0,0.8,1004.7,0.0
2024-09-21,0 days 06:31:26,26.4,93.0,355.2,0.7,1005.0,0.0
2024-09-21,0 days 09:01:26,33.1,65.0,140.8,2.1,1005.7,0.0
2024-09-21,0 days 09:16:26,32.7,64.5,129.4,1.5,1005.6,0.0
2024-09-21,0 days 10:46:26,33.3,60.0,158.3,0.9,1005.6,0.0
2024-09-21,0 days 11:01:26,34.2,59.0,94.7,1.1,1005.6,0.0
2024-09-21,0 days 11:16:26,35.1,55.5,86.5,1.4,1005.4,0.0
2024-09-21,0 days 11:31:26,34.9,57.0,87.5,0.8,1005.2,0.0
2024-09-21,0 days 11:46:26,35.6,53.0,134.3,2.3,1004.8,0.0
2024-09-21,0 days 12:01:26,34.7,56.5,88.0,0.7,1004.6,0.0
2024-09-21,0 days 12:16:26,35.3,55.5,70.2,0.7,1004.3,0.0
2024-09-21,0 days 12:31:26,35.8,55.0,157.0,1.1,1004.1,0.0
2024-09-21,0 days 12:46:26,35.5,53.5,41.0,1.7,1003.7,0.0
2024-09-21,0 days 13:01:26,36.5,47.5,117.9,0.9,1003.5,0.0
2024-09-21,0 days 13:16:26,36.1,52.5,348.5,1.4,1003.4,0.0
2024-09-21,0 days 13:31:26,36.2,51.5,85.7,1.6,1003.0,0.0
2024-09-21,0 days 13:46:26,35.3,52.5,153.8,2.5,1002.7,0.0
2024-09-21,0 days 14:01:26,36.3,52.5,161.0,0.5,1002.9,0.0
2024-09-21,0 days 14:16:26,34.5,61.5,47.9,2.6,1002.6,0.0
2024-09-21,0 days 14:31:26,34.5,61.5,70.7,2.8,1002.5,0.0
2024-09-21,0 days 14:46:26,34.6,61.0,32.0,2.5,1002.5,0.0
2024-09-21,0 days 15:01:26,34.5,60.5,78.2,1.7,1002.2,0.0
2024-09-21,0 days 15:16:26,35.0,58.5,36.7,1.1,1002.1,0.0
2024-09-21,0 days 15:31:26,35.3,57.0,51.7,1.2,1001.9,0.0
2024-09-21,0 days 15:46:26,35.0,57.5,89.0,3.1,1001.8,0.0
2024-09-21,0 days 16:01:26,35.6,56.0,58.1,2.3,1002.0,0.0
2024-09-21,0 days 16:16:26,34.7,57.5,81.6,1.4,1001.8,0.0
2024-09-21,0 days 16:31:28,35.0,60.0,58.6,2.8,1002.0,0.0
2024-09-21,0 days 16:46:26,33.5,63.0,69.3,2.1,1001.7,0.0
2024-09-21,0 days 17:01:26,33.4,64.0,79.6,2.5,1001.9,0.0
2024-09-21,0 days 17:16:26,33.0,64.5,63.1,3.1,1001.8,0.0
2024-09-21,0 days 17:31:26,32.4,66.0,42.4,2.0,1001.7,0.0
2024-09-21,0 days 17:46:26,32.0,67.5,79.8,2.2,1001.6,0.0
2024-09-21,0 days 18:01:26,31.4,69.0,66.5,2.4,1001.6,0.0
2024-09-21,0 days 18:16:26,30.9,71.0,76.7,3.6,1001.6,0.0
2024-09-21,0 days 18:31:26,30.2,72.0,62.5,2.6,1001.7,0.0
2024-09-21,0 days 19:01:26,29.6,76.0,93.9,0.9,1002.1,0.0
2024-09-22,0 days 02:16:26,26.3,90.0,23.6,0.3,1004.4,0.0
2024-09-22,0 days 02:31:26,26.4,90.5,78.1,0.3,1004.5,0.0
2024-09-22,0 days 02:46:26,26.5,90.5,113.2,0.3,1004.3,0.0
2024-09-22,0 days 03:01:26,26.5,90.0,83.5,0.4,1004.4,0.0
